Seven,Two detective investigate the seven deadly sins,https://upload.wikimedia.org/wikipedia/en/thumb/6/68/Seven_%28movie%29_poster.jpg/220px-Seven_%28movie%29_poster.jpg,https://www.youtube.com/watch?v=J4YV2_TcCoE
The Usual Suspects,Five criminals and only one left to tell their tale,https://upload.wikimedia.org/wikipedia/en/thumb/9/9c/Usual_suspects_ver1.jpg/220px-Usual_suspects_ver1.jpg,https://www.youtube.com/watch?v=oiXdPolca5w
Malcolm X,Movie depiction of the autobiography of Malcolm X,https://upload.wikimedia.org/wikipedia/en/thumb/4/49/Malcolmxdvdset.jpg/220px-Malcolmxdvdset.jpg,https://www.youtube.com/watch?v=sx4sEvhYeVE
Shooter,Veteran Marine sniper setup to be the fall guy for assassination,https://upload.wikimedia.org/wikipedia/en/thumb/7/7a/Shooter2007Poster.jpg/220px-Shooter2007Poster.jpg,https://www.youtube.com/watch?v=natRMn81kiY
Hellraiser,A puzzle box the key to hellish pleasure,https://upload.wikimedia.org/wikipedia/en/thumb/4/40/Hellraiser-UK-Quad-poster.JPG/220px-Hellraiser-UK-Quad-poster.JPG,https://www.youtube.com/watch?v=0CFVSOT_6rA
Rocky,The underdog fights his way to the top,https://upload.wikimedia.org/wikipedia/en/thumb/1/18/Rocky_poster.jpg/220px-Rocky_poster.jpg,https://www.youtube.com/watch?v=Wif1EzGQ9Fk
